p.product_id,product_title,v.inventory,total_units_sold
11547050574092,YOUNG POONG YOPOKKI Tteokbokki Käse 120g,67,1034
11627220533516,NUR 1 CENT MEET SEOUL Ade Beutelgetränke Blaue Zitrone 230ml - 3 Stück Max pro B...,0,820
8392155267340,YUMEI scharfes Kohl-Kimchi 100g,55,439
8564968718604,WEILONG Latiao Scharf & Würzig 106g,11,429
11532515049740,SAMYANG Instant Nudel Schüssel Hot Chicken Carbonara 80g,82,401
8525395984652,YOUNG POONG YOPOKKI Tteokbokki Original Süß & Würzig 140g,72,331
11526585417996,CANTABILE Ade Beutelgetränke Blaubeer 230ml,76,322
8722684018956,BAIJIA A-Kuan Breite Nudeln mit Sesampaste 115g,0,319
8508704915724,MORINAGA Hi-Chew Grüner Apfel 55g,55,305
11469477052684,(KW) SAMYANG Hot Chicken Carbonara Gyoza Teigtasche 700g,57,296
